id,query,expected_document,expected_marker,rank,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,citation_exact_at_1,distractor_rejected_at_5,latency_ms,top1_document,top1_similarity,top5_documents
Q13,Which DVP&R record uses a rail flange durability rig with weld nugget teardown?,historical_dvpr_front_rail_alpha.csv,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.08,historical_dvpr_front_rail_alpha.csv,0.4375,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q14,Which lesson says weld pitch should follow cyclic strain hot-spot maps rather than static tables?,lessons_learned_front_rail_and_underbody.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,0.095,lessons_learned_front_rail_and_underbody.md,0.2608,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv
Q15,What corrosion standard requires at least two 12 mm drain or vent holes in a splash-exposed closed section?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,0.075,corrosion_standard_ec_biw_041.md,0.4902,corrosion_standard_ec_biw_041.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | lessons_learned_front_rail_and_underbody.md
Q16,Where is the minimum 10 micron internal e-coat film build defined?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,0.063,corrosion_standard_ec_biw_041.md,0.2438,corrosion_standard_ec_biw_041.md | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv
Q17,Which standard requires 96 corrosion cycles and teardown sectioning for a front rail overlap?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,2,0,1,1,0.5,0,1,0.105,historical_dfmea_front_rail_alpha.csv,0.4465,historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | lessons_learned_front_rail_and_underbody.md
Q18,Which source prohibits red rust before 60 cycles and perforation at any point?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,0.092,corrosion_standard_ec_biw_041.md,0.3059,corrosion_standard_ec_biw_041.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q19,Which historical DFMEA describes corrosion caused by no drain path and blocked e-coat flow?,historical_dfmea_front_rail_alpha.csv,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,0.071,historical_dfmea_front_rail_alpha.csv,0.4465,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md
Q20,Which DVP&R record validates internal e-coat film build and no red rust before 60 cycles?,historical_dvpr_front_rail_alpha.csv,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,0.069,historical_dvpr_front_rail_alpha.csv,0.3482,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md
Q21,Which historical DFMEA recommends increasing fastener edge distance and adding a local emboss?,historical_dfmea_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,0.064,historical_dfmea_front_rail_alpha.csv,0.3444,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q22,Where is service bracket pull-out caused by edge distance below 2.5 times hole diameter documented?,historical_dfmea_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,0.064,historical_dfmea_front_rail_alpha.csv,0.4269,historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dfmea_front_rail_alpha.csv
Q23,Which DVP&R test requires pull-out force of at least 1.7 times maximum service load?,historical_dvpr_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,0.063,historical_dvpr_front_rail_alpha.csv,0.4042,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q24,What test is AFR-TEST-004 and which build phase uses it?,historical_dvpr_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,0,1,0.055,historical_dvpr_front_rail_alpha.csv,0.3951,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q25,Which lesson says an underbody battery bracket failed with only 1.6 hole-diameter edge distance?,lessons_learned_front_rail_and_underbody.md,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,0.072,lessons_learned_front_rail_and_underbody.md,0.313,lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv
Q26,Which CAE report found roof crush margin below target after gauge reduction from 1.4 to 1.1 mm?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,0.063,cae_report_roof_rail_beta.txt,0.5625,cae_report_roof_rail_beta.txt | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dfmea_front_rail_alpha.csv
Q27,What source recommends restoring local 1.4 mm gauge near the B-pillar roof rail node?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,0.087,cae_report_roof_rail_beta.txt,0.5487,cae_report_roof_rail_beta.txt | lessons_learned_front_rail_and_underbody.md | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
Q28,Where are roof crush CAE gateway and physical quasi-static roof crush validation required?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,0.058,cae_report_roof_rail_beta.txt,0.4396,cae_report_roof_rail_beta.txt | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
Q29,Which roof rail source specifies a 10 percent analytical strength-to-weight margin?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,0.068,cae_report_roof_rail_beta.txt,0.416,cae_report_roof_rail_beta.txt | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | corrosion_standard_ec_biw_041.md | lessons_learned_front_rail_and_underbody.md
Q30,"Which lesson connects bracket pull-out prevention to 2.5D edge distance, local embossing, pull-out test, and shaker durability?",lessons_learned_front_rail_and_underbody.md,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,0.066,lessons_learned_front_rail_and_underbody.md,0.3953,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md
