id,query,expected_document,expected_marker,rank,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,citation_exact_at_1,distractor_rejected_at_5,latency_ms,top1_document,top1_similarity,top5_documents
Q01,Which historical DFMEA describes front rail crash folding outside the intended crush zone?,historical_dfmea_front_rail_alpha.csv,FR-CRASH-BULKHEAD-ALPHA,1,1,1,1,1.0,1,1,7.648,historical_dfmea_front_rail_alpha.csv,0.6514,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md
Q12,Which historical DFMEA links rail flange spot weld fatigue to pitch selected from static strength?,historical_dfmea_front_rail_alpha.csv,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.541,historical_dfmea_front_rail_alpha.csv,0.7474,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md
Q13,Which DVP&R record uses a rail flange durability rig with weld nugget teardown?,historical_dvpr_front_rail_alpha.csv,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.671,historical_dvpr_front_rail_alpha.csv,0.7195,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q14,Which lesson says weld pitch should follow cyclic strain hot-spot maps rather than static tables?,lessons_learned_front_rail_and_underbody.md,AFR-WELD-PITCH-35MM,1,1,1,1,1.0,1,1,7.373,lessons_learned_front_rail_and_underbody.md,0.456,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q15,What corrosion standard requires at least two 12 mm drain or vent holes in a splash-exposed closed section?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,7.353,corrosion_standard_ec_biw_041.md,0.6806,corrosion_standard_ec_biw_041.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv
Q16,Where is the minimum 10 micron internal e-coat film build defined?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,2,0,1,1,0.5,0,1,7.302,historical_dvpr_front_rail_alpha.csv,0.3988,historical_dvpr_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md
Q17,Which standard requires 96 corrosion cycles and teardown sectioning for a front rail overlap?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,2,0,1,1,0.5,0,1,7.288,historical_dfmea_front_rail_alpha.csv,0.5983,historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q18,Which source prohibits red rust before 60 cycles and perforation at any point?,corrosion_standard_ec_biw_041.md,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,7.653,corrosion_standard_ec_biw_041.md,0.3679,corrosion_standard_ec_biw_041.md | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | weld_standard_ws_join_017.md
Q19,Which historical DFMEA describes corrosion caused by no drain path and blocked e-coat flow?,historical_dfmea_front_rail_alpha.csv,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,7.458,historical_dfmea_front_rail_alpha.csv,0.5735,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dfmea_front_rail_alpha.csv
Q20,Which DVP&R record validates internal e-coat film build and no red rust before 60 cycles?,historical_dvpr_front_rail_alpha.csv,AFR-DRAIN-12MM,1,1,1,1,1.0,1,1,7.555,historical_dvpr_front_rail_alpha.csv,0.5678,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q21,Which historical DFMEA recommends increasing fastener edge distance and adding a local emboss?,historical_dfmea_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,7.479,historical_dfmea_front_rail_alpha.csv,0.5075,historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
Q22,Where is service bracket pull-out caused by edge distance below 2.5 times hole diameter documented?,historical_dfmea_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,7.375,historical_dfmea_front_rail_alpha.csv,0.389,historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | corrosion_standard_ec_biw_041.md | historical_dvpr_front_rail_alpha.csv
Q23,Which DVP&R test requires pull-out force of at least 1.7 times maximum service load?,historical_dvpr_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,7.185,historical_dvpr_front_rail_alpha.csv,0.4786,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q24,What test is AFR-TEST-004 and which build phase uses it?,historical_dvpr_front_rail_alpha.csv,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,7.329,historical_dvpr_front_rail_alpha.csv,0.5839,historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q25,Which lesson says an underbody battery bracket failed with only 1.6 hole-diameter edge distance?,lessons_learned_front_rail_and_underbody.md,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,7.615,lessons_learned_front_rail_and_underbody.md,0.3676,lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
Q26,Which CAE report found roof crush margin below target after gauge reduction from 1.4 to 1.1 mm?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,7.583,cae_report_roof_rail_beta.txt,0.7504,cae_report_roof_rail_beta.txt | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv
Q27,What source recommends restoring local 1.4 mm gauge near the B-pillar roof rail node?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,7.339,cae_report_roof_rail_beta.txt,0.6189,cae_report_roof_rail_beta.txt | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | lessons_learned_front_rail_and_underbody.md | historical_dvpr_front_rail_alpha.csv
Q28,Where are roof crush CAE gateway and physical quasi-static roof crush validation required?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,7.186,cae_report_roof_rail_beta.txt,0.5424,cae_report_roof_rail_beta.txt | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv
Q29,Which roof rail source specifies a 10 percent analytical strength-to-weight margin?,cae_report_roof_rail_beta.txt,ROOF-RAIL-GAUGE-1P4MM,1,1,1,1,1.0,1,1,7.382,cae_report_roof_rail_beta.txt,0.5808,cae_report_roof_rail_beta.txt | historical_dvpr_front_rail_alpha.csv | weld_standard_ws_join_017.md | historical_dvpr_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
Q30,"Which lesson connects bracket pull-out prevention to 2.5D edge distance, local embossing, pull-out test, and shaker durability?",lessons_learned_front_rail_and_underbody.md,AFR-EDGE-2P5D,1,1,1,1,1.0,1,1,8.345,lessons_learned_front_rail_and_underbody.md,0.374,lessons_learned_front_rail_and_underbody.md | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv | historical_dfmea_front_rail_alpha.csv | historical_dvpr_front_rail_alpha.csv
